name,brand,category,sp,mrp,discount,type,weight,weightUnitType,description,productImageUrl,largeImageUrl
Bonita Hanging Light Brown 4 Shelves Organizer (Maison),Bonita,Home Furnishing and Decor,869,1795,51,Organizer,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_407151.jpg?ts=1578651496,https://cdn.grofers.com/app/images/products/full_screen/pro_407151.jpg?ts=1578651496
Bonita OR05-80BF Cheer Jewellery Organizer (Blue),Bonita,Home Furnishing and Decor,339,525,35,Organizer,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_407027.jpg?ts=1578651495,https://cdn.grofers.com/app/images/products/full_screen/pro_407027.jpg?ts=1578651495
Nilkamal 15 Kitchen Trolley (Maroon),Nilkamal,Home Furnishing and Decor,749,1101,31,Kitchen Trolley,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_382812.jpg?ts=1583488991,https://cdn.grofers.com/app/images/products/full_screen/pro_382812.jpg?ts=1583488991
Nilkamal 19 Kitchen Trolley (Maroon),Nilkamal,Home Furnishing and Decor,749,1101,31,Kitchen Trolley,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_382814.jpg?ts=1583488991,https://cdn.grofers.com/app/images/products/full_screen/pro_382814.jpg?ts=1583488991
IHomz IH-C-004 New Look Multipurpose Bathroom Mirror Cabinet Wall Shelf (White),IHomz,Home Furnishing and Decor,1709,4999,65,Wall Shelf,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_416223.jpg?ts=1582892740,https://cdn.grofers.com/app/images/products/full_screen/pro_416223.jpg?ts=1582892740
IHomz IH-HPSL-034 Home Pro 5 Step with Platform Hand Rail Aluminum Ladder (Silver),IHomz,Home Furnishing and Decor,3069,7999,61,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_408628.jpg?ts=1578655760,https://cdn.grofers.com/app/images/products/full_screen/pro_408628.jpg?ts=1578655760
IHomz Wall Shelf (White),IHomz,Home Furnishing and Decor,439,995,55,Wall Shelf,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_409400.jpg?ts=1578651038,https://cdn.grofers.com/app/images/products/full_screen/pro_409400.jpg?ts=1578651038
IHomz IH-MSL-025 Millano 6 Step Heavy Folding with Platform Hand Rail Carbon Steel Ladder (Black),IHomz,Home Furnishing and Decor,3199,6999,54,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_408624.jpg?ts=1578651027,https://cdn.grofers.com/app/images/products/full_screen/pro_408624.jpg?ts=1578651027
IHomz IH-MSL-022 Millano 3 Step Heavy Folding with Platform Hand Rail Carbon Steel Ladder (Black),IHomz,Home Furnishing and Decor,1899,3999,52,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_408621.jpg?ts=1578651027,https://cdn.grofers.com/app/images/products/full_screen/pro_408621.jpg?ts=1578651027
IHomz IH-MSL-023 Millano 4 Step Heavy Folding with Platform Hand Rail Carbon Steel Ladder (Black),IHomz,Home Furnishing and Decor,2559,4999,48,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_408622.jpg?ts=1578651027,https://cdn.grofers.com/app/images/products/full_screen/pro_408622.jpg?ts=1578651027
IHomz IH-ASL-031 Heavy Folding 7 Step Aluminium Ladder (Silver),IHomz,Home Furnishing and Decor,4239,7999,47,Ladder,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_409404.jpg?ts=1578651039,https://cdn.grofers.com/app/images/products/full_screen/pro_409404.jpg?ts=1578651039
