name,brand,category,sp,mrp,discount,type,weight,weightUnitType,description,productImageUrl,largeImageUrl
Family Farm Maida,Family Farm,Lowest Price,38,65,41,Maida,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_400222.jpg?ts=1603107415,https://cdn.grofers.com/app/images/products/full_screen/pro_400222.jpg?ts=1603107415
Organic Tattva Sooji,Organic Tattva,Grocery & Staples,42,55,23,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_13469.jpg?ts=1591961068,https://cdn.grofers.com/app/images/products/full_screen/pro_13469.jpg?ts=1591961068
Family Farm Besan,Family Farm,Grocery & Staples,90,110,18,Besan,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_402642.jpg?ts=1603107471,https://cdn.grofers.com/app/images/products/full_screen/pro_402642.jpg?ts=1603107471
Chakki Atta,,Best Value,269,330,18,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_388639.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_388639.jpg
24 Mantra Organic Wheat Daliya,24 Mantra Organic,Breakfast & Dairy,45,45,0,Daliya,500 gm,gm,,https://cdn.grofers.com/app/images/products/normal/pro_32387.jpg?ts=1591687807,https://cdn.grofers.com/app/images/products/full_screen/pro_32387.jpg?ts=1591687807
Fortune Besan,Fortune,Grocery & Staples,85,120,29,Besan,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_13.jpg?ts=1582006624,https://cdn.grofers.com/app/images/products/full_screen/pro_13.jpg?ts=1582006624
Aashirvaad Select Whole Wheat Sharbati Atta,Aashirvaad Select,Grocery & Staples,255,295,13,Sharbati Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_7.jpg?ts=1606724471,https://cdn.grofers.com/app/images/products/full_screen/pro_7.jpg?ts=1606724471
Bahut Badiya Besan,Bahut Badiya,Grocery & Staples,83,120,30,Besan,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_434491.jpg?ts=1605773385,https://cdn.grofers.com/app/images/products/full_screen/pro_434491.jpg?ts=1605773385
Aashirvaad Multigrain Atta,Aashirvaad,Grocery & Staples,263,305,13,Multigrain Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_108301.jpg?ts=1604059490,https://cdn.grofers.com/app/images/products/full_screen/pro_108301.jpg?ts=1604059490
Fortune Chakki Fresh Atta,Fortune,Grocery & Staples,319,410,22,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_380157.jpg?ts=1582006627,https://cdn.grofers.com/app/images/products/full_screen/pro_380157.jpg?ts=1582006627
Nature Fresh Sampoorna Chakki Atta,Nature Fresh,Grocery & Staples,309,450,31,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_23951.jpg?ts=1588565910,https://cdn.grofers.com/app/images/products/full_screen/pro_23951.jpg?ts=1588565910
Pillsbury Chakki Fresh Atta,Pillsbury,Grocery & Staples,382,450,15,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_23694.jpg?ts=1595233299,https://cdn.grofers.com/app/images/products/full_screen/pro_23694.jpg?ts=1595233299
Patanjali Traditional Whole Wheat with Bran Chakki Atta,Patanjali,Grocery & Staples,350,350,0,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_55388.jpg?ts=1574316534,https://cdn.grofers.com/app/images/products/full_screen/pro_55388.jpg?ts=1574316534
Fortune Besan - Buy 2 Get 1 Free,Fortune,Grocery & Staples,120,180,33,Besan,3x500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_243016.jpg?ts=1608817384,https://cdn.grofers.com/app/images/products/full_screen/pro_243016.jpg?ts=1608817384
Tata Sampann Besan,Tata Sampann,Grocery & Staples,53,69,23,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_15486.jpg?ts=1590670287,https://cdn.grofers.com/app/images/products/full_screen/pro_15486.jpg?ts=1590670287
Satyam Besan,Satyam,Grocery & Staples,62,67,7,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_32772.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_32772.jpg?ts=1590670289
Grocery Besan,Grocery,Grocery & Staples,46,70,34,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_439960.jpg?ts=1611812970,https://cdn.grofers.com/app/images/products/full_screen/pro_439960.jpg?ts=1611812970
Whole Farm Pesticide Free Besan,Whole Farm,Grocery & Staples,71,100,28,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_438706.jpg?ts=1608633779,https://cdn.grofers.com/app/images/products/full_screen/pro_438706.jpg?ts=1608633779
Family Farm Sooji/Rava,Family Farm,Grocery & Staples,26,40,35,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_403178.jpg?ts=1603107473,https://cdn.grofers.com/app/images/products/full_screen/pro_403178.jpg?ts=1603107473
Satyam Sooji/Rava,Satyam,Grocery & Staples,31,31,0,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_139883.jpg?ts=1610691206,https://cdn.grofers.com/app/images/products/full_screen/pro_139883.jpg?ts=1610691206
Satyam Idli Sooji/Rava,Satyam,Grocery & Staples,29,29,0,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_130250.jpg?ts=1589179010,https://cdn.grofers.com/app/images/products/full_screen/pro_130250.jpg?ts=1589179010
Grocery Idli Sooji/Rava,Grocery,Grocery & Staples,59,70,15,Sooji,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_439964.jpg?ts=1611812970,https://cdn.grofers.com/app/images/products/full_screen/pro_439964.jpg?ts=1611812970
Satyam Maida,Satyam,Grocery & Staples,28,28,0,Maida,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45092.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_45092.jpg
Bahut Badiya Maida,Bahut Badiya,Grocery & Staples,19,30,36,Maida,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_436918.jpg?ts=1604472639,https://cdn.grofers.com/app/images/products/full_screen/pro_436918.jpg?ts=1604472639
Grocery Maida,Grocery,Grocery & Staples,23,40,42,Maida,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_439988.jpg?ts=1611813125,https://cdn.grofers.com/app/images/products/full_screen/pro_439988.jpg?ts=1611813125
Pillsbury Pillsbury Chakki Fresh Atta + Tata Salt Combo,Pillsbury,Grocery & Staples,216,266,18,Combo,5kg + 1kg,N/A,,https://cdn.grofers.com/app/images/products/normal/pro_409800.jpg?ts=1575957679,https://cdn.grofers.com/app/images/products/full_screen/pro_409800.jpg?ts=1575957679
Satyam Bajra Flour,Satyam,Grocery & Staples,37,37,0,Bajra Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45052.jpg?ts=1590670332,https://cdn.grofers.com/app/images/products/full_screen/pro_45052.jpg?ts=1590670332
Satyam Rice Flour,Satyam,Grocery & Staples,33,33,0,Rice Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45115.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_45115.jpg?ts=1590670289
Weikfield Corn Flour,Weikfield,Grocery & Staples,72,80,10,Corn Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_10959.jpg?ts=1603556316,https://cdn.grofers.com/app/images/products/full_screen/pro_10959.jpg?ts=1603556316
Satyam Ragi Flour/Nachani Flour,Satyam,Grocery & Staples,41,41,0,Ragi Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_32774.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_32774.jpg?ts=1590670289
Satyam Jowar Flour,Satyam,Grocery & Staples,44,44,0,Jowar Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45082.jpg?ts=1590670333,https://cdn.grofers.com/app/images/products/full_screen/pro_45082.jpg?ts=1590670333
Satyam Rajgira Flour,Satyam,Grocery & Staples,83,83,0,Rajgira Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45111.jpg?ts=1590670288,https://cdn.grofers.com/app/images/products/full_screen/pro_45111.jpg?ts=1590670288
Bahut Badiya Rajgira Flour,Bahut Badiya,Grocery & Staples,78,90,13,Rajgira Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_436998.jpg?ts=1604472730,https://cdn.grofers.com/app/images/products/full_screen/pro_436998.jpg?ts=1604472730
Satyam Soyabean Flour,Satyam,Grocery & Staples,50,50,0,Soyabean Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45124.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_45124.jpg?ts=1590670289
Satyam Makai Flour,Satyam,Grocery & Staples,25,33,24,Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45093.jpg?ts=1550582766,https://cdn.grofers.com/app/images/products/full_screen/pro_45093.jpg?ts=1550582766
Pillsbury Multigrain Atta,Pillsbury,Grocery & Staples,256,295,13,Multigrain Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_3867.jpg?ts=1595233299,https://cdn.grofers.com/app/images/products/full_screen/pro_3867.jpg?ts=1595233299
Organic Tattva Wheat Organic Atta,Organic Tattva,Grocery & Staples,262,300,12,Organic Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_86973.jpg?ts=1606724472,https://cdn.grofers.com/app/images/products/full_screen/pro_86973.jpg?ts=1606724472
24 Mantra Organic Whole Wheat Organic Atta,24 Mantra Organic,Grocery & Staples,290,290,0,Organic Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_21491.jpg?ts=1606724471,https://cdn.grofers.com/app/images/products/full_screen/pro_21491.jpg?ts=1606724471
Bahut Badiya Idli Rava (Pouch),Bahut Badiya,Grocery & Staples,46,50,8,Rava,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_437003.jpg?ts=1604472731,https://cdn.grofers.com/app/images/products/full_screen/pro_437003.jpg?ts=1604472731
Organic Tattva Sooji,Organic Tattva,Grocery & Staples,42,55,23,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_13469.jpg?ts=1591961068,https://cdn.grofers.com/app/images/products/full_screen/pro_13469.jpg?ts=1591961068
Basic Arhar Dal/Toor Dal,Basic,Grocery & Staples,90,140,35,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_403799.jpg?ts=1603107473,https://cdn.grofers.com/app/images/products/full_screen/pro_403799.jpg?ts=1603107473
Basic Moong Dal (Dhuli),Basic,Grocery & Staples,96,160,40,Moong Dal (Dhuli),1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_403776.jpg?ts=1603107473,https://cdn.grofers.com/app/images/products/full_screen/pro_403776.jpg?ts=1603107473
Basic Chana Dal,Basic,Grocery & Staples,62,110,43,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_403804.jpg?ts=1603107473,https://cdn.grofers.com/app/images/products/full_screen/pro_403804.jpg?ts=1603107473
24 Mantra Organic Wheat Daliya,24 Mantra Organic,Breakfast & Dairy,45,45,0,Daliya,500 gm,gm,,https://cdn.grofers.com/app/images/products/normal/pro_32387.jpg?ts=1591687807,https://cdn.grofers.com/app/images/products/full_screen/pro_32387.jpg?ts=1591687807
Grocery Urad Dal (Dhuli),Grocery,Grocery & Staples,120,150,20,Urad Dal (Dhuli),1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_440058.jpg?ts=1611813314,https://cdn.grofers.com/app/images/products/full_screen/pro_440058.jpg?ts=1611813314
Family Farm Chana Dal,Family Farm,Grocery & Staples,88,120,26,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_400098.jpg?ts=1603107430,https://cdn.grofers.com/app/images/products/full_screen/pro_400098.jpg?ts=1603107430
Family Farm Arhar Dal/Toor Dal,Family Farm,Lowest Price,114,150,24,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_400096.jpg?ts=1603107429,https://cdn.grofers.com/app/images/products/full_screen/pro_400096.jpg?ts=1603107429
Tata Sampann Unpolished Arhar Dal/Toor Dal,Tata Sampann,Grocery & Staples,139,169,17,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_39493.jpg?ts=1596790293,https://cdn.grofers.com/app/images/products/full_screen/pro_39493.jpg?ts=1596790293
Organic Tattva Arhar Dal/Toor Dal,Organic Tattva,Grocery & Staples,180,240,25,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_114385.jpg?ts=1594993249,https://cdn.grofers.com/app/images/products/full_screen/pro_114385.jpg?ts=1594993249
24 Mantra Organic Arhar Dal/Toor Dal,24 Mantra Organic,Grocery & Staples,195,195,0,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_32385.jpg?ts=1604398738,https://cdn.grofers.com/app/images/products/full_screen/pro_32385.jpg?ts=1604398738
Satyam Arhar Dal/Toor Dal,Satyam,Grocery & Staples,204,204,0,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_139884.jpg?ts=1590670319,https://cdn.grofers.com/app/images/products/full_screen/pro_139884.jpg?ts=1590670319
Grocery Arhar Dal/Toor Dal,Grocery,Grocery & Staples,110,150,26,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_439935.jpg?ts=1611812969,https://cdn.grofers.com/app/images/products/full_screen/pro_439935.jpg?ts=1611812969
Shubhalaxmii Food Arhar Dal/Toor Dal,Shubhalaxmii Food,Grocery & Staples,99,160,38,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_437437.jpg?ts=1604908772,https://cdn.grofers.com/app/images/products/full_screen/pro_437437.jpg?ts=1604908772
Whole Farm Pesticide Free Arhar Dal/Toor Dal,Whole Farm,Grocery & Staples,167,240,30,Arhar Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_438710.jpg?ts=1608633779,https://cdn.grofers.com/app/images/products/full_screen/pro_438710.jpg?ts=1608633779
Tata Sampann Unpolished Yellow Moong Dal (Dhuli),Tata Sampann,Grocery & Staples,154,180,14,Moong Dal (Dhuli),1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_23742.jpg?ts=1591856826,https://cdn.grofers.com/app/images/products/full_screen/pro_23742.jpg?ts=1591856826
Satyam Yellow Moong Dal (Dhuli),Satyam,Grocery & Staples,110,113,2,Moong Dal (Dhuli),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_71165.jpg?ts=1591092875,https://cdn.grofers.com/app/images/products/full_screen/pro_71165.jpg?ts=1591092875
Organic Tattva Split Yellow Moong Dal (Dhuli),Organic Tattva,Grocery & Staples,99,125,20,Moong Dal (Dhuli),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_183583.jpg?ts=1591961146,https://cdn.grofers.com/app/images/products/full_screen/pro_183583.jpg?ts=1591961146
Grocery Moong Dal (Dhuli),Grocery,Grocery & Staples,119,180,33,Moong Dal (Dhuli),1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_439977.jpg?ts=1611812971,https://cdn.grofers.com/app/images/products/full_screen/pro_439977.jpg?ts=1611812971
Whole Farm Pesticide Free Yellow Moong Dal (Dhuli),Whole Farm,Grocery & Staples,82,120,31,Moong Dal (Dhuli),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_438711.jpg?ts=1608633780,https://cdn.grofers.com/app/images/products/full_screen/pro_438711.jpg?ts=1608633780
Tata Sampann Chana Dal,Tata Sampann,Grocery & Staples,105,135,22,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_299087.jpg?ts=1591856827,https://cdn.grofers.com/app/images/products/full_screen/pro_299087.jpg?ts=1591856827
Organic Tattva Chana Dal,Organic Tattva,Grocery & Staples,69,95,27,Chana Dal,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_81288.jpg?ts=1591961069,https://cdn.grofers.com/app/images/products/full_screen/pro_81288.jpg?ts=1591961069
Satyam Chana Dal,Satyam,Grocery & Staples,70,70,0,Chana Dal,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45063.jpg?ts=1590670333,https://cdn.grofers.com/app/images/products/full_screen/pro_45063.jpg?ts=1590670333
24 Mantra Organic Chana Dal,24 Mantra Organic,Grocery & Staples,65,85,23,Chana Dal,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_24055.jpg?ts=1604398736,https://cdn.grofers.com/app/images/products/full_screen/pro_24055.jpg?ts=1604398736
Aashirvaad Nature's Super Foods Organic Chana Dal,Aashirvaad,Grocery & Staples,190,200,5,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_436449.jpg?ts=1603776925,https://cdn.grofers.com/app/images/products/full_screen/pro_436449.jpg?ts=1603776925
Grocery Chana Dal,Grocery,Grocery & Staples,82,120,31,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_440032.jpg?ts=1611813313,https://cdn.grofers.com/app/images/products/full_screen/pro_440032.jpg?ts=1611813313
Shubhalaxmii Food Eco Chana Dal,Shubhalaxmii Food,Grocery & Staples,72,140,48,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_437439.jpg?ts=1604908772,https://cdn.grofers.com/app/images/products/full_screen/pro_437439.jpg?ts=1604908772
Whole Farm Pesticide Free Chana Dal,Whole Farm,Grocery & Staples,123,170,27,Chana Dal,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_438745.jpg?ts=1608633988,https://cdn.grofers.com/app/images/products/full_screen/pro_438745.jpg?ts=1608633988
Tata Sampann White Urad Dal (Dhuli),Tata Sampann,Grocery & Staples,91,91,0,Urad Dal (Dhuli),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_289033.jpg?ts=1590475032,https://cdn.grofers.com/app/images/products/full_screen/pro_289033.jpg?ts=1590475032
Organic Tattva Sabut/Whole White Urad Dal (Dhuli),Organic Tattva,Grocery & Staples,91,115,20,Urad Dal (Dhuli),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_86970.jpg?ts=1591880609,https://cdn.grofers.com/app/images/products/full_screen/pro_86970.jpg?ts=1591880609
Whole Farm Pesticide Free White Urad Dal (Dhuli),Whole Farm,Grocery & Staples,86,115,25,Urad Dal (Dhuli),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_438748.jpg?ts=1608633988,https://cdn.grofers.com/app/images/products/full_screen/pro_438748.jpg?ts=1608633988
Tata Sampann Kabuli Chana,Tata Sampann,Grocery & Staples,145,150,3,Kabuli Chana,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_101234.jpg?ts=1557398550,https://cdn.grofers.com/app/images/products/full_screen/pro_101234.jpg?ts=1557398550
Organic Tattva Kabuli Chana,Organic Tattva,Grocery & Staples,94,130,27,Kabuli Chana,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_81290.jpg?ts=1591961069,https://cdn.grofers.com/app/images/products/full_screen/pro_81290.jpg?ts=1591961069
Satyam Small Kabuli Chana,Satyam,Grocery & Staples,77,77,0,Kabuli Chana,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_132084.jpg?ts=1591093020,https://cdn.grofers.com/app/images/products/full_screen/pro_132084.jpg?ts=1591093020
Satyam Kabuli Chana,Satyam,Grocery & Staples,91,91,0,Kabuli Chana,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_32769.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_32769.jpg?ts=1590670289
24 Mantra Organic Kabuli Chana,24 Mantra Organic,Grocery & Staples,95,95,0,Kabuli Chana,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_3588.jpg?ts=1604398674,https://cdn.grofers.com/app/images/products/full_screen/pro_3588.jpg?ts=1604398674
Grocery Kabuli Chana,Grocery,Grocery & Staples,89,150,40,Kabuli Chana,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_440033.jpg?ts=1611813313,https://cdn.grofers.com/app/images/products/full_screen/pro_440033.jpg?ts=1611813313
Whole Farm Pesticide Free Kabuli Chana,Whole Farm,Grocery & Staples,68,120,43,Kabuli Chana,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_438746.jpg?ts=1608633988,https://cdn.grofers.com/app/images/products/full_screen/pro_438746.jpg?ts=1608633988
Tata Sampann Split Unpolished Green Moong Dal (Chilka),Tata Sampann,Grocery & Staples,86,91,5,Moong Dal (Chilka),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_34819.jpg?ts=1595587804,https://cdn.grofers.com/app/images/products/full_screen/pro_34819.jpg?ts=1595587804
Satyam Chilti Green Moong Dal (Chilka),Satyam,Grocery & Staples,126,126,0,Moong Dal (Chilka),500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_114405.jpg?ts=1590758356,https://cdn.grofers.com/app/images/products/full_screen/pro_114405.jpg?ts=1590758356
24 Mantra Organic Split Green Moong Dal (Chilka),24 Mantra Organic,Grocery & Staples,120,120,0,Moong Dal (Chilka),500 gm,gm,,https://cdn.grofers.com/app/images/products/normal/pro_31999.jpg?1474709327,https://cdn.grofers.com/app/images/products/full_screen/pro_31999.jpg?1474709334
Family Farm Avalakki Thick Poha,Family Farm,Breakfast & Dairy,57,90,36,Poha,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_400112.jpg?ts=1592545419,https://cdn.grofers.com/app/images/products/full_screen/pro_400112.jpg?ts=1592545419
Family Farm Long Grain Regular Rice,Family Farm,Grocery & Staples,216,400,46,Regular Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_407444.jpg?ts=1603107438,https://cdn.grofers.com/app/images/products/full_screen/pro_407444.jpg?ts=1603107438
Wada Kolam Rice,,Grocery & Staples,585,850,31,Kolam Rice,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_432793.jpg?ts=1608266603,https://cdn.grofers.com/app/images/products/full_screen/pro_432793.jpg?ts=1608266603
MP'S BEST Lokwan Wheat,MP'S BEST,Grocery & Staples,292,399,26,Lokwan Wheat,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_436418.jpg?ts=1603773944,https://cdn.grofers.com/app/images/products/full_screen/pro_436418.jpg?ts=1603773944
Bahut Badiya Poha,Bahut Badiya,Breakfast & Dairy,46,65,29,Poha,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_436995.jpg?ts=1607339303,https://cdn.grofers.com/app/images/products/full_screen/pro_436995.jpg?ts=1607339303
Surti Raw Kolam Rice,,Grocery & Staples,625,850,26,Kolam Rice,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_384975.jpg?ts=1603108146,https://cdn.grofers.com/app/images/products/full_screen/pro_384975.jpg?ts=1603108146
Daawat Rozana Super Basmati Rice,Daawat,Grocery & Staples,299,390,23,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_10974.jpg?ts=1544768843,https://cdn.grofers.com/app/images/products/full_screen/pro_10974.jpg?ts=1544768843
Bahut Badiya Sabudana,Bahut Badiya,Breakfast & Dairy,72,110,34,Sabudana,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_438120.jpg?ts=1605774471,https://cdn.grofers.com/app/images/products/full_screen/pro_438120.jpg?ts=1605774471
Kohinoor Charminar Long Grains Regular Rice,Kohinoor,Grocery & Staples,269,370,27,Regular Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_32637.jpg?ts=1593532997,https://cdn.grofers.com/app/images/products/full_screen/pro_32637.jpg?ts=1593532997
Daawat Pulav Basmati Rice,Daawat,Grocery & Staples,99,120,17,Basmati Rice,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_18763.jpg?ts=1574316533,https://cdn.grofers.com/app/images/products/full_screen/pro_18763.jpg?ts=1574316533
Daawat Devaaya Basmati Rice,Daawat,Grocery & Staples,399,520,23,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_34998.jpg?ts=1544768844,https://cdn.grofers.com/app/images/products/full_screen/pro_34998.jpg?ts=1544768844
Daawat Rozana Gold Basmati Rice,Daawat,Grocery & Staples,349,445,21,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_10973.jpg?ts=1544768843,https://cdn.grofers.com/app/images/products/full_screen/pro_10973.jpg?ts=1544768843
Daawat Super Basmati Rice,Daawat,Grocery & Staples,722,845,14,Basmati Rice,5 kg + 1.25 kg,N/A,,https://cdn.grofers.com/app/images/products/normal/pro_126168.jpg?ts=1594793110,https://cdn.grofers.com/app/images/products/full_screen/pro_126168.jpg?ts=1594793110
Daawat Biryani Basmati Rice,Daawat,Grocery & Staples,194,220,11,Basmati Rice,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_18762.jpg?ts=1574316533,https://cdn.grofers.com/app/images/products/full_screen/pro_18762.jpg?ts=1574316533
Daawat Traditional Basmati Rice,Daawat,Grocery & Staples,889,1050,15,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_34828.jpg?ts=1544768845,https://cdn.grofers.com/app/images/products/full_screen/pro_34828.jpg?ts=1544768845
Daawat Heritage Super Dubar Basmati Rice,Daawat,Grocery & Staples,275,690,60,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_435961.jpg?ts=1603255614,https://cdn.grofers.com/app/images/products/full_screen/pro_435961.jpg?ts=1603255614
Daawat Heritage Popular Basmati Rice,Daawat,Grocery & Staples,315,690,54,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_437774.jpg?ts=1605180515,https://cdn.grofers.com/app/images/products/full_screen/pro_437774.jpg?ts=1605180515
Daawat Heritage Royal Basmati Rice,Daawat,Grocery & Staples,72,159,54,Basmati Rice,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_437773.jpg?ts=1605180515,https://cdn.grofers.com/app/images/products/full_screen/pro_437773.jpg?ts=1605180515
Family Farm Everyday/Rozana Basmati Rice,Family Farm,Grocery & Staples,261,400,34,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_407443.jpg?ts=1603107438,https://cdn.grofers.com/app/images/products/full_screen/pro_407443.jpg?ts=1603107438
Family Farm Premium Biryani Basmati Rice,Family Farm,Grocery & Staples,82,120,31,Basmati Rice,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_400246.jpg?ts=1603107412,https://cdn.grofers.com/app/images/products/full_screen/pro_400246.jpg?ts=1603107412
Fortune Hamesha Basmati Rice,Fortune,Grocery & Staples,259,425,39,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_391805.jpg?ts=1597916562,https://cdn.grofers.com/app/images/products/full_screen/pro_391805.jpg?ts=1597916562
Fortune Rozana Basmati Rice,Fortune,Grocery & Staples,319,585,45,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_124532.jpg?ts=1583238120,https://cdn.grofers.com/app/images/products/full_screen/pro_124532.jpg?ts=1583238120
Fortune Biryani Special Basmati Rice,Fortune,Grocery & Staples,525,875,40,Basmati Rice,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_52675.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_52675.jpg
